username,retweet_count,favorite_count,created_at,id
GrabMY,0,2,2021-02-06 6:07:59,1357934041262039040
LazadaMY,4,0,2021-02-03 2:18:56,1356789238293950464
LazadaMY,76,190,2021-02-14 3:00:00,1360785839115001861
LazadaMY,1,0,2021-02-15 4:30:00,1361170874284531715
ShopeeMY,1,0,2021-02-03 10:30:55,1356913047130923012
ShopeeMY,0,17,2021-02-03 5:13:14,1356833100664250374
ShopeeMY,3,14,2021-02-03 3:37:00,1356808881071034370
ShopeeMY,229,0,2021-02-03 3:33:52,1356808093095456769
ShopeeMY,2,0,2021-02-03 3:21:40,1356805023351537669
ShopeeMY,3,37,2021-02-03 3:05:55,1356801059423834112
ShopeeMY,0,3,2021-02-04 12:00:02,1357297861701079045
ShopeeMY,0,4,2021-02-04 10:00:17,1357267726352322561
ShopeeMY,41,161,2021-02-04 9:55:34,1357266538135310339
ShopeeMY,0,3,2021-02-04 7:08:50,1357224578691469313
ShopeeMY,0,1,2021-02-04 4:00:00,1357177058439307264
ShopeeMY,0,7,2021-02-04 3:31:47,1357169955318366208
ShopeeMY,3725,0,2021-02-04 3:05:48,1357163419951009793
ShopeeMY,0,2,2021-02-04 2:22:09,1357152434288611328
ShopeeMY,322,592,2021-02-04 2:00:10,1357146899929653257
ShopeeMY,1,7,2021-02-05 14:02:43,1357691125591461888
ShopeeMY,2,10,2021-02-05 12:30:47,1357667989156364288
ShopeeMY,0,9,2021-02-05 12:22:07,1357665809397551106
ShopeeMY,1,11,2021-02-05 12:10:20,1357662840727871489
ShopeeMY,1,2,2021-02-05 12:01:42,1357660669563211776
ShopeeMY,1,2,2021-02-05 12:01:21,1357660582229381126
ShopeeMY,0,3,2021-02-05 12:00:01,1357660244906676224
ShopeeMY,0,7,2021-02-05 11:46:38,1357656879376130051
ShopeeMY,1,1,2021-02-05 9:59:50,1357630003228282885
ShopeeMY,4,17,2021-02-05 9:52:26,1357628141070479361
ShopeeMY,2,2,2021-02-05 9:40:47,1357625205204475905
ShopeeMY,1,2,2021-02-05 9:40:19,1357625089588535299
ShopeeMY,0,1,2021-02-05 9:40:07,1357625038644641793
ShopeeMY,5,0,2021-02-05 9:39:27,1357624871203852289
